,run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_total_spots,run_total_bases,run_alias,public_filename,public_size,public_date,public_md5,public_version,public_semantic_name,public_supertype,public_sratoolkit,aws_url,aws_free_egress,aws_access_type,public_url,ncbi_url,ncbi_free_egress,ncbi_access_type,gcp_url,gcp_free_egress,gcp_access_type,experiment_alias,strain,isolate,host,isolation_source,collection_date,geo_loc_name,sample_type,host_tissue_sampled,biosamplemodel,lat_lon,breed,tissue,gold ecosystem classification,cultivar,age,biomaterial_provider,collected_by,biological_replicate,replicate,samp_mat_process,samp_size,ref_biomaterial,rel_to_oxygen,samp_collect_device,ecotype,identified_by,sex,dev_stage,ena-first-public,ena-last-update,external id,insdc center name,insdc first public,insdc last update,insdc status,submitter id,common name,sample name,scientific_name,phenotype,experimental factor: compound,experimental factor: dose,ebi_url,ebi_free_egress,ebi_access_type,broker name,altitude,env_broad_scale,env_local_scale,env_medium,season,type_of_nucleic_acid,arrayexpress-species,sample description,experimental factor: growth condition,experimental factor: stimulus,experimental factor: immunoprecipitate,cell type,developmental stage,genotype,growth condition,indivudal,organism part,progenitor cell type,source_name,treatment,sample_name,elev,env_feature,depth,env_material,env_biome,ena first public,ena last update,insdc center alias,collection date,environment (biome),environment (feature),environment (material),geographic location (country and/or sea),geographic location (latitude),geographic location (longitude),investigation type,project name,sequencing method,wastewater/sludge environmental package,cell_line,cell_type,nucleic_acid,sample_timepoint,host_subject_id,isolation source,isol_growth_condt,propagation,number_of_cells,target_molecules,site_name,chlorophyll,conduc,diss_inorg_carb,bacterial_count,samp_volume,min_filter_size,max_filter_size,sequencing_method,sequencing_machine,std_norm_factor,specimen_voucher,source_material_id,sample_number,sample_source,investigation_type,temp,geographic_location,ena_fastq_http,ena_fastq_http_1,ena_fastq_http_2,ena_fastq_ftp,ena_fastq_ftp_1,ena_fastq_ftp_2,contigs_510
43,SRR1785207,SRP037995,Amazon Continuum Metatranscriptomes,SRX864142,May 2011 Amazon River 2.0 - 297um Metatranscriptome from Macapa South Channel (RCM20),May 2011 Amazon River 2.0 - 297um Metatranscriptome from Macapa South Channel (RCM20),1169740,aquatic metagenome,RCM20,RNA-Seq,METATRANSCRIPTOMIC,RANDOM,PAIRED,SRS835001,,SAMN03252796,PRJNA237345,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,16154873,2803170623,16154873,4846461900,ROCA RCM20,SRR1785207.sralite,1236933225,2020-06-20 22:20:45,8b04e95069763f841149ab736e7390bc,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-7/SRR1785207/SRR1785207.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/785/SRR1785207/SRR1785207.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/785/SRR1785207/SRR1785207.sralite.1,worldwide,anonymous,gs://sra-pub-zq-105/SRR1785207/SRR1785207.zq.1,gs.us-east1,gcp identity,,,,,,2011-05-08,Brazil: Amazon River,,,MIGS/MIMS/MIMARKS.water,0.156917 S 50.622550 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon River,10 m,water,river,,,,,,,,,,,,,,,,,,,,,,,,mRNA,Macapa South (MCPS),1.99 ug/L,55.3 uS/cm,459 umol C/kg,3.94E06 cells/mL,0.7 L,2 um,297 um,Illumina PE 150x150,HiSeq 2500,23472.0,,,,,Non-selective Metatranscriptome,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/007/SRR1785207/SRR1785207_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/007/SRR1785207/SRR1785207_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR178/007/SRR1785207/SRR1785207_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR178/007/SRR1785207/SRR1785207_2.fastq.gz,1
44,SRR1785209,SRP037995,Amazon Continuum Metatranscriptomes,SRX864143,May 2011 Amazon River 0.2 - 2.0um Metatranscriptome from Macapa North Channel (RCM21),May 2011 Amazon River 0.2 - 2.0um Metatranscriptome from Macapa North Channel (RCM21),1169740,aquatic metagenome,RCM21,RNA-Seq,METATRANSCRIPTOMIC,RANDOM,PAIRED,SRS834999,,SAMN03252797,PRJNA237345,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,5541901,1046607537,5541901,1662570300,ROCA RCM21,SRR1785209.sralite,428491896,2021-06-15 08:06:17,6a18cae2b8cc7e6ca3631d646b8f6273,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-8/SRR1785209/SRR1785209.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/785/SRR1785209/SRR1785209.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/785/SRR1785209/SRR1785209.sralite.1,worldwide,anonymous,gs://sra-pub-zq-105/SRR1785209/SRR1785209.noqual.1,gs.us-east1,gcp identity,,,,,,2011-05-07,Brazil: Amazon River,,,MIGS/MIMS/MIMARKS.water,0.083883 S 51.051417 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon River,14 m,water,river,,,,,,,,,,,,,,,,,,,,,,,,mRNA,Macapa North (MCPN),1.67 ug/L,61.5 uS/cm,507 umol C/kg,3.96E06 cells/mL,0.65 L,0.2 um,2.0 um,Illumina PE 150x150,HiSeq 2500,10521.0,,,,,Non-selective Metatranscriptome,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/009/SRR1785209/SRR1785209_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/009/SRR1785209/SRR1785209_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR178/009/SRR1785209/SRR1785209_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR178/009/SRR1785209/SRR1785209_2.fastq.gz,1
45,SRR1785350,SRP037995,Amazon Continuum Metatranscriptomes,SRX864213,May 2011 Amazon River 2.0 - 297um Metatranscriptome from Macapa North Channel (RCM22),May 2011 Amazon River 2.0 - 297um Metatranscriptome from Macapa North Channel (RCM22),1169740,aquatic metagenome,RCM22,RNA-Seq,METATRANSCRIPTOMIC,RANDOM,PAIRED,SRS835072,,SAMN03252798,PRJNA237345,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,23140458,4200861925,23140458,6942137400,ROCA RCM22,SRR1785350.sralite,1764611984,2020-06-13 03:56:51,f5b726f80da38402ef4885fa736ac1e1,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR1785350/SRR1785350.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/785/SRR1785350/SRR1785350.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/785/SRR1785350/SRR1785350.sralite.1,worldwide,anonymous,gs://sra-pub-zq-105/SRR1785350/SRR1785350.zq.1,gs.us-east1,gcp identity,,,,,,2011-05-07,Brazil: Amazon River,,,MIGS/MIMS/MIMARKS.water,0.083883 S 51.051417 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amazon River,14 m,water,river,,,,,,,,,,,,,,,,,,,,,,,,mRNA,Macapa North (MCPN),1.67 ug/L,61.5 uS/cm,507 umol C/kg,3.96E06 cells/mL,0.65 L,2 um,297 um,Illumina PE 150x150,HiSeq 2500,15029.0,,,,,Non-selective Metatranscriptome,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/000/SRR1785350/SRR1785350_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR178/000/SRR1785350/SRR1785350_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR178/000/SRR1785350/SRR1785350_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR178/000/SRR1785350/SRR1785350_2.fastq.gz,1
46,SRR2006803,SRP057824,Insect associated rhabdoviruses RNA-seq,SRX1014315,Rhabdovirus discovery pool 1,Rhabdovirus discovery pool 1,11270,Rhabdoviridae,Pool1,RNA-Seq,METAGENOMIC,RANDOM,PAIRED,SRS925990,,SAMN03570612,PRJNA282498,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,170209268,10475373565,170209268,16046339090,BL1_L1,SRR2006803.sralite,4168760611,2020-06-21 19:44:05,130b2f8143bfbf59f2ce48996ea593b8,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-3/SRR2006803/SRR2006803.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/006/SRR2006803/SRR2006803.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/006/SRR2006803/SRR2006803.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR2006803/SRR2006803.zq.1,gs.us-east1,gcp identity,,,Pool1,Diptera,Diptera species,2008/2014,"United Kingdom:USA,Kenya",,,Viral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/003/SRR2006803/SRR2006803.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR200/003/SRR2006803/SRR2006803.fastq.gz,,,1
47,SRR2043650,SRP058819,Genome-wide profiling of nucleosome sensitivity and chromatin accessibility to MNase in D. melanogaster [RNA-seq],SRX1041846,GSM1698086: S2_RNA_Seq_replicate_1_L001; Drosophila melanogaster; RNA-Seq,GSM1698086: S2_RNA_Seq_replicate_1_L001; Drosophila melanogaster; RNA-Seq,7227,Drosophila melanogaster,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS948188,,SAMN03742278,PRJNA285244,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,10876295,1483216595,10876295,2197011590,GSM1698086_r1,S2_RNA_Seq_replicate_1_L001_R2.fastq.gz,874133801,2020-04-26 18:14:18,ef69dab66921943028b0cd7ae357d2bf,1,fastq,Original,0,s3://sra-pub-src-7/SRR2043650/S2_RNA_Seq_replicate_1_L001_R2.fastq.gz,-,Use Cloud Data Delivery,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/043/SRR2043650/SRR2043650.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/043/SRR2043650/SRR2043650.sralite.1,worldwide,anonymous,gs://sra-pub-zq-104/SRR2043650/SRR2043650.noqual.1,gs.us-east1,gcp identity,GSM1698086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2 cells,,,,,,,S2 cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/000/SRR2043650/SRR2043650_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/000/SRR2043650/SRR2043650_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR204/000/SRR2043650/SRR2043650_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR204/000/SRR2043650/SRR2043650_2.fastq.gz,0
48,SRR2043651,SRP058819,Genome-wide profiling of nucleosome sensitivity and chromatin accessibility to MNase in D. melanogaster [RNA-seq],SRX1041847,GSM1698087: S2_RNA_Seq_replicate_1_L002; Drosophila melanogaster; RNA-Seq,GSM1698087: S2_RNA_Seq_replicate_1_L002; Drosophila melanogaster; RNA-Seq,7227,Drosophila melanogaster,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS948187,,SAMN03742279,PRJNA285244,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,10917240,1497214875,10917240,2205282480,GSM1698087_r1,SRR2043651,1497216626,2015-05-28 15:00:20,4db1fab15db37066f1deaffe32a535f7,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2043651/SRR2043651,worldwide,anonymous,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2043651/SRR2043651,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/043/SRR2043651/SRR2043651.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR2043651/SRR2043651.zq.1,gs.us-east1,gcp identity,GSM1698087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2 cells,,,,,,,S2 cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/001/SRR2043651/SRR2043651_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/001/SRR2043651/SRR2043651_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR204/001/SRR2043651/SRR2043651_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR204/001/SRR2043651/SRR2043651_2.fastq.gz,0
49,SRR2043652,SRP058819,Genome-wide profiling of nucleosome sensitivity and chromatin accessibility to MNase in D. melanogaster [RNA-seq],SRX1041848,GSM1698088: S2_RNA_Seq_replicate_2_L001; Drosophila melanogaster; RNA-Seq,GSM1698088: S2_RNA_Seq_replicate_2_L001; Drosophila melanogaster; RNA-Seq,7227,Drosophila melanogaster,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS948186,,SAMN03742280,PRJNA285244,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,15466538,2073509108,15466538,3124240676,GSM1698088_r1,SRR2043652.sralite,817214056,2020-06-21 04:31:05,9ec57f51f3bd1a1526bf7c3a640b2ad4,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-7/SRR2043652/SRR2043652.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/043/SRR2043652/SRR2043652.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/043/SRR2043652/SRR2043652.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/SRR2043652/SRR2043652.zq.1,gs.us-east1,gcp identity,GSM1698088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2 cells,,,,,,,S2 cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/002/SRR2043652/SRR2043652_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/002/SRR2043652/SRR2043652_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR204/002/SRR2043652/SRR2043652_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR204/002/SRR2043652/SRR2043652_2.fastq.gz,0
50,SRR2043653,SRP058819,Genome-wide profiling of nucleosome sensitivity and chromatin accessibility to MNase in D. melanogaster [RNA-seq],SRX1041849,GSM1698089: S2_RNA_Seq_replicate_2_L002; Drosophila melanogaster; RNA-Seq,GSM1698089: S2_RNA_Seq_replicate_2_L002; Drosophila melanogaster; RNA-Seq,7227,Drosophila melanogaster,,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS948185,,SAMN03742281,PRJNA285244,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,15522818,2090333352,15522818,3135609236,GSM1698089_r1,SRR2043653.sralite,820177803,2021-06-16 01:41:07,66aab5b925647a451778b9307fafec96,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-8/SRR2043653/SRR2043653.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/043/SRR2043653/SRR2043653.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/043/SRR2043653/SRR2043653.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR2043653/SRR2043653.noqual.1,gs.us-east1,gcp identity,GSM1698089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S2 cells,,,,,,,S2 cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/003/SRR2043653/SRR2043653_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR204/003/SRR2043653/SRR2043653_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR204/003/SRR2043653/SRR2043653_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR204/003/SRR2043653/SRR2043653_2.fastq.gz,0
51,SRR2086712,SRP060304,"Transcriptome Analysis of Tripogon loliiformis throughout dehydration, desiccation and rehydration",SRX1080533,"Transcriptome of Tripogon loliiformis throughout dehydration, desiccation and resurrection","Transcriptome of Tripogon loliiformis throughout dehydration, desiccation and resurrection",883148,Tripogonella loliiformis,Tl-Transcriptome,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS978062,,SAMN03839048,PRJNA288839,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,579301609,40536321265,35553275,3768647150,60%-2,SRR2086712.sralite,1026306927,2020-06-23 18:53:25,a5db82ae42b9370e478686dd52800821,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-5/SRR2086712/SRR2086712.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/086/SRR2086712/SRR2086712.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/086/SRR2086712/SRR2086712.sralite.1,worldwide,anonymous,gs://sra-pub-zq-107/SRR2086712/SRR2086712.zq.1,gs.us-east1,gcp identity,,,not-collected,,,,Australia: Charleville,,,Plant,,,Shoot,,,Two months old,,Dr Brett Williams,,,,,,,,,,,Vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildtype,,,,,,Rehydration-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/002/SRR2086712/SRR2086712.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR208/002/SRR2086712/SRR2086712.fastq.gz,,,1
52,SRR2086713,SRP060304,"Transcriptome Analysis of Tripogon loliiformis throughout dehydration, desiccation and rehydration",SRX1080533,"Transcriptome of Tripogon loliiformis throughout dehydration, desiccation and resurrection","Transcriptome of Tripogon loliiformis throughout dehydration, desiccation and resurrection",883148,Tripogonella loliiformis,Tl-Transcriptome,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS978062,,SAMN03839048,PRJNA288839,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,579301609,40536321265,39378502,4174121212,60%-3,SRR2086713.sralite,1136274062,2020-06-23 18:55:10,2af7805b424d722db14141fc1c8a871f,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-5/SRR2086713/SRR2086713.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/086/SRR2086713/SRR2086713.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/086/SRR2086713/SRR2086713.sralite.1,worldwide,anonymous,gs://sra-pub-zq-106/SRR2086713/SRR2086713.zq.1,gs.us-east1,gcp identity,,,not-collected,,,,Australia: Charleville,,,Plant,,,Shoot,,,Two months old,,Dr Brett Williams,,,,,,,,,,,Vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildtype,,,,,,Rehydration-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/003/SRR2086713/SRR2086713.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR208/003/SRR2086713/SRR2086713.fastq.gz,,,1
53,SRR2086716,SRP060304,"Transcriptome Analysis of Tripogon loliiformis throughout dehydration, desiccation and rehydration",SRX1080533,"Transcriptome of Tripogon loliiformis throughout dehydration, desiccation and resurrection","Transcriptome of Tripogon loliiformis throughout dehydration, desiccation and resurrection",883148,Tripogonella loliiformis,Tl-Transcriptome,RNA-Seq,TRANSCRIPTOMIC,cDNA,SINGLE,SRS978062,,SAMN03839048,PRJNA288839,Illumina HiSeq 2500,Illumina HiSeq 2500,ILLUMINA,579301609,40536321265,37564329,3981818874,40%-3,SRR2086716.sralite,1084048367,2020-06-23 18:54:35,6c2c36fc526babcb3a8129f454311d4e,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-1/SRR2086716/SRR2086716.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/086/SRR2086716/SRR2086716.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR002/086/SRR2086716/SRR2086716.sralite.1,worldwide,anonymous,gs://sra-pub-zq-105/SRR2086716/SRR2086716.zq.1,gs.us-east1,gcp identity,,,not-collected,,,,Australia: Charleville,,,Plant,,,Shoot,,,Two months old,,Dr Brett Williams,,,,,,,,,,,Vegetative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildtype,,,,,,Rehydration-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR208/006/SRR2086716/SRR2086716.fastq.gz,,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR208/006/SRR2086716/SRR2086716.fastq.gz,,,1
54,SRR3193092,SRP070913,Leptree II: tineoid transcriptomes,SRX1603927,Philonome clemensella transcriptome,Philonome clemensella transcriptome,687481,Philonome clemensella,Pmsa3,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,SRS1313704,,SAMN04517258,PRJNA312833,Illumina HiSeq 1000,Illumina HiSeq 1000,ILLUMINA,16255891,1943661001,16255891,3283689982,Pmsa3_ATCACG_L007_R2_001-005.fastq,SRR3193092.sralite,822275126,2021-06-14 21:20:05,c8b71c2020acf80075c18cc65b2b8669,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-8/SRR3193092/SRR3193092.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/193/SRR3193092.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/193/SRR3193092.sralite.1,worldwide,anonymous,gs://sra-pub-zq-102/SRR3193092/SRR3193092.noqual.1,gs.us-east1,gcp identity,,,TH-08-6182,,flew to light,2008-07-06,USA: Illinois,,,Invertebrate,,,whole specimen,,,,,,,,,,,,,,,,adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TH-08-6182,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/002/SRR3193092/SRR3193092_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/002/SRR3193092/SRR3193092_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR319/002/SRR3193092/SRR3193092_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR319/002/SRR3193092/SRR3193092_2.fastq.gz,1
55,SRR3195290,SRP070966,Girardia sp Transcriptome or Gene expression,SRX1605771,Girardia Transcriptome,Girardia Transcriptome,1812171,Girardia sp. Sanchez-2016,S658,RNA-Seq,TRANSCRIPTOMIC,unspecified,PAIRED,SRS1315406,,SAMN04523258,PRJNA313460,Illumina HiSeq 2000,Illumina HiSeq 2000,ILLUMINA,80432408,11716954053,80432408,16086481600,GirardiaSp_RNA_rights.fq.gz,SRR3195290.sralite,4042379981,2020-06-21 02:55:53,90d568563459389fdfb491ec3b84592f,1,SRA Lite,Primary ETL,1,s3://sra-pub-zq-6/SRR3195290/SRR3195290.sralite.1,s3.us-east-1,aws identity,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/195/SRR3195290.sralite.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR003/195/SRR3195290.sralite.1,worldwide,anonymous,gs://sra-pub-zq-103/SRR3195290/SRR3195290.zq.1,gs.us-east1,gcp identity,,,mixed worms,,Carolina Biological Supply Company,unknown,unknown,,,Invertebrate,,,whole animal,,,,Carolina Biological Supply Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/000/SRR3195290/SRR3195290_1.fastq.gz,http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/000/SRR3195290/SRR3195290_2.fastq.gz,,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR319/000/SRR3195290/SRR3195290_1.fastq.gz,era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR319/000/SRR3195290/SRR3195290_2.fastq.gz,0
