cluster,species,length
22,"6363_MN164454.1_Yellow_pepper_mild_mottle_virus_isolate_Chepen-Escabeche,_complete_genome",6363
23,"6369_MT733325.1_Pepper_mild_mottle_virus_strain_PMMoV-XJ,_complete_genome",6369
24,"6350_KU659022.1_Tropical_soda_apple_mosaic_virus_isolate_Okeechobee,_complete_genome",6350
25,"6371_PQ520519.1_African_eggplant-associated_virus_isolate_DSMZ_PV-1245,_complete_genome",6371
26,6381_AM398436.1_Brugmansia_sp._tobamovirus_complete_virion_genome,6381
27,"6397_MK012556.1_Brugmansia_latent_virus_isolate_1996-4584,_complete_genome",6397
28,"6502_MH730970.1_Tobacco_mild_green_mosaic_virus_isolate_Ng92/73,_complete_genome",6502
29,"6618_X82130.1_Odontoglossum_ringspot_virus_RNA_for_replicase,_movement_protein_and_coat_protein_genes",6618
30,"6237_ON924221.1_Piper_chlorosis_virus_isolate_DSMZ_PV-1126,_complete_genome",6237
31,"6312_Z29370.1_Turnip_vein-clearing_virus_genes_for_RNA-dependent_RNA_polymerase,_122K_protein,_transport_protein_and_coat_protein,_genomic_RNA",6312
32,"6311_GQ401365.1_Ribgrass_mosaic_virus_strain_RMV_Actinidia-AC_isolate_M2/A4,_complete_genome",6311
33,"5244_OQ789506.1_Bertoki_tobamovirus_1_isolate_R-20-17,_complete_genome",5244
34,"6298_AB017503.1_Wasabi_mottle_virus_genomic_RNA,_complete_genome,_isolate:_Shizuoka",6298
35,"6304_OK655842.1_Youcai_mosaic_virus_isolate_GDHZ,_complete_genome",6304
36,"6155_OQ789505.1_Gorica_tobamovirus_1_isolate_P-19-04,_complete_genome",6155
37,"6459_OR350236.1_MAG:_Streptocarpus_flower_break_virus_isolate_23-01801,_complete_genome",6459
38,"6281_MH645158.1_Ullucus_tobamovirus_1_isolate_UTomV1,_partial_genome",6281
39,"6425_MN961200.1_Hoya_necrotic_spot_virus_isolate_Hoy2,_complete_genome",6425
40,6465_OR350232.1_MAG:_Piper_chlorosis_virus_isolate_VPRI_44537_genomic_sequence,6465
41,"6386_KX434725.1_Hoya_chlorotic_spot_virus_isolate_12-415,_complete_genome",6386
42,"6441_LC127213.1_Hibiscus_latent_Singapore_virus_genomic_RNA,_complete_genome,_isolate:_J",6441
43,"6486_MZ020960.1_Hibiscus_latent_Singapore_virus,_complete_genome",6486
44,"6498_MZ819720.1_Hibiscus_latent_Fort_Pierce_virus_isolate_HLFPV-LY,_complete_genome",6498
45,"6458_ON602041.1_Hibiscus_latent_Hawaii_virus_strain_Oahu1,_complete_genome",6458
46,"6497_KX883801.1_Cucumber_green_mottle_mosaic_virus_strain_spider132626_replicase,_movement_protein,_and_coat_protein_genes,_complete_cds",6497
47,"6512_AB162006.1_Kyuri_green_mottle_mosaic_virus_genomic_RNA,_complete_genome,_isolate:YM",6512
48,"6514_AJ295948.1_Kyuri_green_mottle_mosaic_virus_replicase_(131_and_189_KDa),_cp,_and_mp_genes",6514
49,"6515_AB015145.1_Kyuri_green_mottle_mosaic_virus_genomic_RNA,_complete_sequence_of_strain_Yodo",6515
50,"6524_OL404963.1_Trichosanthes_mottle_mosaic_virus_isolate_Anhui,_complete_genome",6524
51,"6517_MF066176.1_Zucchini_green_mottle_mosaic_virus_isolate_GXBG1,_complete_genome",6517
52,"6571_JN226146.1_Cucumber_fruit_mottle_mosaic_virus_isolate_Cm,_complete_genome",6571
53,"6574_MT989352.1_Cucumber_fruit_mottle_mosaic_virus_isolate_Su12-25,_complete_genome",6574
54,"6497_MF960828.1_Bottle_gourd_mottle_virus_isolate_WT2,_complete_genome",6497
55,"6485_AB261167.1_Cucumber_mottle_virus_genomic_RNA,_complete_genome",6485
56,"6791_HQ389540.1_Passion_fruit_mosaic_virus,_complete_genome",6791
57,"6794_DQ356949.1_Maracuja_mosaic_virus,_complete_genome",6794
58,"6776_LC745662.1_Sewage-associated_tobamovirus_RNA,_nearly_complete_genome",6776
59,"6453_MF434821.2_Opuntia_virus_2_isolate_Nopal_hec_Mex,_complete_genome",6453
60,"6483_D84000.1_Sunn-hemp_mosaic_virus_SH8TP2_RNA,_complete_genome",6483
61,"6455_OP342598.1_Sunn-hemp_mottle_virus_isolate_HI,_complete_genome",6455
62,"6514_JN566124.1_Clitoria_yellow_mottle_virus_isolate_Larrimah,_complete_genome",6514
63,"6426_MN186255.1_Tobacco_mosaic_virus_isolate_Henan9-2-2017_CP,_MP,_183K_protein,_and_130K_protein_genes,_complete_cds",6426
